"Includes Amazon Marketplace, Fulfilment by Amazon (FBA) and Amazon Webstore transactions"
"All amounts in AUD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the “Type” and “Description” columns for each order ID."
"date/time","settlement ID","type","order ID","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","sales tax collected","low value goods","selling fees","fulfilment by amazon fees","other transaction fees","other","total"
"5 Nov 2025 12:31:37 pm GMT+9","12178183403","Order","249-0552072-5199827","CCF-CSH-BkRkHlf2-2pk","Cooling and Roasting Rack Set - 2 Pack Stainless Steel Cooling Racks for Cooking and Baking, 30 x 43cm Oven-Safe Baking Racks, Heavy-Duty Oven Rack fo","1","amazon.com.au","Amazon","TOORAK","VIC","3142","31.96","0","0","0","0","0","-4.15","-10.14","0","0","17.67"
"5 Nov 2025 6:12:20 pm GMT+9","12178183403","Order","250-9830761-3711014","MNM-CSH-CwdSwgChr-Crm","Baby Swing Chair for Indoor & Outdoor Fun – Soft Cotton Canvas Toddler Swing with Beech Wood Frame – Safe & Comfy Baby Toys – Ideal Sensory Swin","1","amazon.com.au","Amazon","GIN GIN","QLD","4671","48.42","9.99","0","0","0","0","0","-21.20","0","0","37.21"
"5 Nov 2025 6:43:11 pm GMT+9","12178183403","Order","503-7851684-2931057","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","HEWETT","SA","5118","15.97","0","0","0","0","0","-2.08","-8.40","0","0","5.49"
"5 Nov 2025 11:07:06 pm GMT+9","12178183403","Order","249-8899443-5505454","CCF-CSH-PrPzaCtr","Heavy Duty Pizza Cutter Rocker Blade with Cover – Premium Stainless Steel Pizza Slicer with Protective Sheath, Ergonomic Non-Slip Handle, Dishwasher","1","amazon.com.au","Amazon","WEST HINDMARSH","SA","5007","17.99","0","0","0","0","0","-2.34","-8.40","0","0","7.25"
"5 Nov 2025 11:28:39 pm GMT+9","12178183403","Order","249-9225316-6419063","CCF-CSH-SlUtensl5pcs","5-Piece Silicone Kitchen Utensil Set – Premium BPA-Free Cooking Tools & Gadgets for Nonstick Cookware – Dishwasher Safe & Durable","1","amazon.com.au","Amazon","MOUNT ANNAN","NSW","2567","19.99","0","0","0","0","0","-2.60","-10.65","0","0","6.74"
"6 Nov 2025 7:50:16 am GMT+9","12178183403","Order","503-9578464-2685441","N9-I4FJ-SD05","3-Tier Ceramic Cupcake Holder, Cake Stand Holder, Tiered DIY Cupcake Stand Tower for Dessert Table Displays, Birthday Theme Party Favors Decoration, F","1","amazon.com.au","Amazon","Dee Why","NSW","2099","17.99","2.33","0","0","0","0","-2.34","-14.11","0","0","3.87"
"6 Nov 2025 8:09:32 am GMT+9","12178183403","Order","250-2612745-2066234","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","Carlingford","NSW","2118","15.97","0","0","0","0","0","-2.08","-8.40","0","0","5.49"
"6 Nov 2025 8:40:00 am GMT+9","12178183403","Order","250-7265885-3079042","N9-I4FJ-SD05","3-Tier Ceramic Cupcake Holder, Cake Stand Holder, Tiered DIY Cupcake Stand Tower for Dessert Table Displays, Birthday Theme Party Favors Decoration, F","1","amazon.com.au","Amazon","COOMA","NSW","2630","17.99","0","0","0","0","0","-2.34","-11.78","0","0","3.87"
"6 Nov 2025 9:12:50 am GMT+9","12178183403","Order","503-8458800-1629464","6T-GX3J-KT8G","Meat Tenderiser Hammer – Heavy Duty Meat Mallet for Tenderizing Steak, Chicken, Beef & More – Double-Sided Tool with Comfortable Handle for Home K","1","amazon.com.au","Amazon","SOUTH WENTWORTHVILLE","NSW","2145","14.99","7.99","0","-7.99","0","0","-1.95","-8.40","0","0","4.64"
"6 Nov 2025 2:13:59 pm GMT+9","12178183403","Order","249-4109537-1285432","CCF-CSH-PzaPel-Xl","Extra Large Pizza Peel with Folding Handle – Heavy-Duty Stainless Steel Pizza Paddle for Effortless Transfer, Perfect Pizza Turning Peel for Outdoor","1","amazon.com.au","Amazon","ORANGE","NSW","2800","32.00","0","0","0","0","0","-4.16","-10.65","0","0","17.19"
"6 Nov 2025 4:35:55 pm GMT+9","12178183403","Order","503-6885016-4280604","CCF-CSH-PzaPel","Large Pizza Peel with Folding Handle – Durable Stainless Steel Pizza Paddle for Easy Transfer, Perfect Pizza Turning Peel for Outdoor Pizza Ovens an","1","amazon.com.au","Amazon","LAKE CONJOLA","NSW","2539","22.41","0","0","0","0","0","-2.91","-10.65","0","0","8.85"
"7 Nov 2025 12:44:31 am GMT+9","12178183403","Order","249-6846531-7968652","CCF-CSH-RlngPin","Stainless Steel Rolling Pin for Baking – Heavy-Duty Dough Rolling pin for Pizza, Cookies & Pastry | Non-Stick, Easy to Clean, Kitchen Essential","1","amazon.com.au","Amazon","HUNCHY","QLD","4555","15.97","0","0","0","0","0","-2.08","-8.40","0","0","5.49"
"7 Nov 2025 1:33:28 am GMT+9","12178183403","Fulfilment by Amazon inventory fee","","","FBA storage fee","","Amazon.com.au","","","","","0","0","0","0","0","0","0","0","0","-187.05","-187.05"
"7 Nov 2025 4:51:38 am GMT+9","12178183403","Order","249-6999458-2403021","6T-GX3J-KT8G","Meat Tenderiser Hammer – Heavy Duty Meat Mallet for Tenderizing Steak, Chicken, Beef & More – Double-Sided Tool with Comfortable Handle for Home K","1","amazon.com.au","Amazon","FINDON","SA","5023","14.99","0","0","0","0","0","-1.95","-8.40","0","0","4.64"
"7 Nov 2025 8:13:50 am GMT+9","12178183403","Order","249-1483098-2011002","CCF-CSH-PzaPel","Large Pizza Peel with Folding Handle – Durable Stainless Steel Pizza Paddle for Easy Transfer, Perfect Pizza Turning Peel for Outdoor Pizza Ovens an","1","amazon.com.au","Amazon","MILTON","QLD","4064","22.41","0","0","0","0","0","-2.91","-10.65","0","0","8.85"
"7 Nov 2025 9:23:22 am GMT+9","12178183403","Order","250-7119268-3450224","NLK-CSH-DcntGlsSet-Tmn","Whiskey Decanter Set – 750ml Crystal Decanter with 4 x 300ml Whiskey Glasses, Elegant Crystal Cocktail Glasses for Scotch,Bourbon,Whisky – Stylish","1","amazon.com.au","Amazon","GRIFFIN","QLD","4503","42.49","0","0","0","0","0","-5.52","-15.74","0","0","21.23"
"7 Nov 2025 8:29:33 pm GMT+9","12178183403","Order","250-9090633-1048668","NLK-CSH-Sklt-22","12"" Cast Iron Pan – Heavy-Duty cast Iron Skillet and Deep Frying Pans (2.5"" Deep) – Pre-Seasoned Nonstick Surface for Searing, Baking, Sautéing �","1","amazon.com.au","Amazon","HEATHMONT","VIC","3135","40.21","0","0","0","0","0","-5.23","-11.20","0","0","23.78"
"8 Nov 2025 1:37:17 am GMT+9","12178183403","Order","250-8717743-5175801","CCF-CSH-PzaPel","Large Pizza Peel with Folding Handle – Durable Stainless Steel Pizza Paddle for Easy Transfer, Perfect Pizza Turning Peel for Outdoor Pizza Ovens an","1","amazon.com.au","Amazon","BURWOOD EAST","VIC","3151","22.41","3.33","0","-3.33","0","0","-2.91","-10.65","0","0","8.85"
